REF_DATE,NOC Major Group,National Occupational Classification (NOC),Economic region code,Economic region name,Number Employed (thousands)
2006,63,Service supervisors and specialized service occupations,3515,Kingston-Pembroke,8.0
2006,64,Sales representatives and salespersons - wholesale and retail trade,3515,Kingston-Pembroke,6.9
2006,65,Service representatives and other customer and personal services occupations,3515,Kingston-Pembroke,11.3
2006,66,Sales support occupations,3515,Kingston-Pembroke,7.4
2006,67,"Service support and other service occupations, n.e.c.",3515,Kingston-Pembroke,12.9
2006,07,"Trades, transport and equipment operators and related occupations",3515,Kingston-Pembroke,27.9
2006,72,"Industrial, electrical and construction trades",3515,Kingston-Pembroke,8.2
2006,73,Maintenance and equipment operation trades,3515,Kingston-Pembroke,7.2
2006,74,"Other installers, repairers and servicers and material handlers",3515,Kingston-Pembroke,3.1
2006,75,Transport and heavy equipment operation and related maintenance occupations,3515,Kingston-Pembroke,7.7
2006,76,"Trades helpers, construction labourers and related occupations",3515,Kingston-Pembroke,1.6
2006,08,"Natural resources, agriculture and related production occupations",3515,Kingston-Pembroke,6.4
2006,82,"Supervisors and technical occupations in natural resources, agriculture and related production",3515,Kingston-Pembroke,
2006,84,"Workers in natural resources, agriculture and related production",3515,Kingston-Pembroke,2.1
2006,86,"Harvesting, landscaping and natural resources labourers",3515,Kingston-Pembroke,3.5
2006,09,Occupations in manufacturing and utilities,3515,Kingston-Pembroke,16.6
2006,92,"Processing, manufacturing and utilities supervisors and central control operators",3515,Kingston-Pembroke,3.3
2006,94,Processing and manufacturing machine operators and related production workers,3515,Kingston-Pembroke,8.1
2006,95,Assemblers in manufacturing,3515,Kingston-Pembroke,2.8
2006,96,"Labourers in processing, manufacturing and utilities",3515,Kingston-Pembroke,2.3
2006,,"Total employed, all occupations",3520,Muskoka-Kawarthas,180.7
2006,00,Management occupations,3520,Muskoka-Kawarthas,18.3
2006,00,Senior management occupations,3520,Muskoka-Kawarthas,
2006,06,Middle management occupations in retail and wholesale trade and customer services,3520,Muskoka-Kawarthas,7.4
2006,01,"Business, finance and administration occupations",3520,Muskoka-Kawarthas,22.8
2006,11,Professional occupations in business and finance,3520,Muskoka-Kawarthas,2.3
2006,12,Administrative and financial supervisors and administrative occupations,3520,Muskoka-Kawarthas,7.5
2006,13,"Finance, insurance and related business administrative occupations",3520,Muskoka-Kawarthas,2.5
2006,14,Office support occupations,3520,Muskoka-Kawarthas,6.4
2006,15,"Distribution, tracking and scheduling co-ordination occupations",3520,Muskoka-Kawarthas,4.1
2006,02,Natural and applied sciences and related occupations,3520,Muskoka-Kawarthas,8.4
2006,21,Professional occupations in natural and applied sciences,3520,Muskoka-Kawarthas,1.6
2006,22,Technical occupations related to natural and applied sciences,3520,Muskoka-Kawarthas,6.8
2006,03,Health occupations,3520,Muskoka-Kawarthas,10.7
2006,30,Professional occupations in nursing,3520,Muskoka-Kawarthas,2.7
2006,31,Professional occupations in health (except nursing),3520,Muskoka-Kawarthas,1.7
2006,32,Technical occupations in health,3520,Muskoka-Kawarthas,2.6
2006,34,Assisting occupations in support of health services,3520,Muskoka-Kawarthas,3.7
2006,04,"Occupations in education, law and social, community and government services",3520,Muskoka-Kawarthas,18.8
2006,40,Professional occupations in education services,3520,Muskoka-Kawarthas,8.4
2006,41,"Professional occupations in law and social, community and government services",3520,Muskoka-Kawarthas,2.1
2006,42,"Paraprofessional occupations in legal, social, community and education services",3520,Muskoka-Kawarthas,3.5
2006,43,Occupations in front-line public protection services,3520,Muskoka-Kawarthas,2.3
2006,44,"Care providers and educational, legal and public protection support occupations",3520,Muskoka-Kawarthas,2.6
2006,05,"Occupations in art, culture, recreation and sport",3520,Muskoka-Kawarthas,4.3
2006,51,Professional occupations in art and culture,3520,Muskoka-Kawarthas,1.7
2006,52,"Technical occupations in art, culture, recreation and sport",3520,Muskoka-Kawarthas,2.6
